"cell_type","cell_type_abbr","gene"
"PAC","PAC","ATP4B"
"PAC","PAC","PGC"
"PAC","PAC","ST18"
"CC","CC","LGALS4"
"CC","CC","NCAPG"
"CC","CC","PECAM1"
"GEEC","GEEC","PCOLCE"
"GEEC","GEEC","C1QB"
"GEEC","GEEC","CXCR2"
"GMC","GMC","CD3E"
"GMC","GMC","IGKC"
"GMC","GMC","MFSD4A"
"MTC","MTC","LIPF"
"MTC","MTC","INSM1"
"MTC","MTC","VILL"
"EC","EC","KIFC1"
"EC","EC","CDH5"
"EC","EC","CLEC11A"
"FB","FB","FCGR3A"
"FB","FB","FCGR3B"
"FB","FB","CD2"
"MC","MC","JCHAIN"
"MC","MC","ATP4A"
"MC","MC","AZGP1"
"NP","NP","ARX"
"NP","NP","CAPN8"
"NP","NP","NCAPH"
"TC","TC","ERG"
"TC","TC","MMP2"
"TC","TC","ITGB2"
"PC","PC","CXCR1"
"PC","PC","CD3G"
"PC","PC","IGLC1"
